State	C2010	C2011	C2012	C2013	C2014	Energy
ID	85075	83947	90339	106356	94319	NatGas
IL	974412	997722	950711	1073734	1116417	NatGas
IN	580752	638237	657719	682842	727758	NatGas
IA	312941	309672	299315	331358	342431	NatGas
KS	280413	285318	268086	288840	289697	NatGas
KY	239062	229056	232702	236423	261233	NatGas
LA	1483201	1536147	1586439	1499625	1563857	NatGas
ME	80988	75061	70451	66014	62355	NatGas
MD	217744	199223	216678	207422	217440	NatGas
MA	447429	464018	430921	434893	433246	NatGas
MI	758696	787337	804084	828483	878699	NatGas
MN	427198	424978	430286	474891	489901	NatGas
MS	444875	437873	499946	427323	440003	NatGas
MO	282141	275308	258945	280845	301360	NatGas
MT	72888	79470	75234	81900	79260	NatGas
NE	169620	173666	161774	178752	179544	NatGas
NV	267808	255970	281432	281972	259438	NatGas
NH	62612	72778	74336	55649	58841	NatGas
NJ	671474	677923	670970	712948	798602	NatGas
NM	246201	251838	249815	252867	256085	NatGas
NY	1224485	1247757	1260950	1315282	1386580	NatGas
NC	308710	311189	367948	445898	460876	NatGas
ND	70046	77752	77469	88285	90629	NatGas
OH	810958	849076	869934	954374	1044986	NatGas
OK	697351	676910	712411	682277	665799	NatGas
OR	242914	203607	220578	244025	225576	NatGas
PA	909263	1000509	1079497	1176660	1257090	NatGas
RI	95710	102465	98435	88274	91259	NatGas
SC	225961	235465	250482	236710	235860	NatGas
SD	72926	73973	71501	83871	83464	NatGas
TN	263365	267929	281007	285308	311966	NatGas
TX	3689583	3800578	3964121	4143328	4219128	NatGas
UT	229078	230672	232630	258909	252691	NatGas
VT	8502	8679	8290	9746	10848	NatGas
VA	385931	383527	424050	435247	437322	NatGas
WA	294871	272261	271947	327840	319784	NatGas
WV	121780	124935	140133	153875	161661	NatGas
WI	376627	399247	410305	453608	477923	NatGas
WY	154759	161776	158546	155960	141763	NatGas
DC	33717	33389	29389	34315	35316	NatGas
AL	13088	10343	8628	9094	8460	LPG
AK	1353	1247	1314	1272	1190	LPG
AZ	7838	8759	6522	7576	7373	LPG
AR	10016	8992	7733	8864	9145	LPG
CA	63022	62639	55405	54438	51472	LPG
CO	16395	16036	15118	17952	16341	LPG
CT	9425	10092	8988	10949	10083	LPG
DE	5323	4730	4306	4675	4872	LPG
FL	20915	19205	17524	16807	16502	LPG
GA	22767	18607	20507	17424	19087	LPG
HI	3155	3397	3441	3211	3192	LPG
ID	5268	5715	5318	6604	4962	LPG
IL	71671	66874	65531	78680	67730	LPG
IN	25691	25085	20584	25008	22520	LPG
IA	66062	64049	62281	70963	68131	LPG
KS	12277	11583	9589	11228	11283	LPG
KY	33939	32032	32072	48525	36157	LPG
LA	489633	516784	565869	613368	617916	LPG
ME	10859	10996	10825	13201	12801	LPG
MD	13030	12743	9977	11389	12185	LPG
MA	9140	10672	9254	11098	11534	LPG
MI	41696	40051	35551	47132	46050	LPG
MN	30431	29366	27850	36574	39558	LPG
MS	11899	10531	8627	10027	10676	LPG
MO	28861	25961	22703	25820	27023	LPG
MT	9000	9531	8061	7786	8298	LPG
NE	12111	10877	9757	12280	10349	LPG
NV	4409	4170	4125	4444	4059	LPG
NH	12029	13375	15243	16495	19027	LPG
NJ	8532	8544	6972	7711	7881	LPG
NM	8501	7782	7683	8501	7187	LPG
NY	31093	28906	26543	29634	33225	LPG
NC	47840	41807	36513	33150	36489	LPG
ND	9541	9405	9057	12682	10982	LPG
OH	29374	29302	23914	26992	27457	LPG
OK	11435	10418	8764	10666	10596	LPG
OR	5956	6208	5689	6013	6029	LPG
PA	55261	57268	48347	48235	48546	LPG
RI	1342	1469	1455	1711	1970	LPG
SC	11209	9625	8411	8755	9741	LPG
SD	7707	6744	6231	7501	6694	LPG
TN	14037	11999	9047	9879	10383	LPG
TX	1425319	1452532	1555977	1650880	1598099	LPG
UT	4050	4911	4285	5084	4575	LPG
VT	9018	8271	9153	10391	10103	LPG
VA	21572	20844	18335	22539	21423	LPG
WA	15836	16604	16186	16138	14874	LPG
WV	4636	4323	4030	5866	4009	LPG
WI	32179	32051	27669	36388	36344	LPG
WY	5226	5481	4817	5113	5442	LPG
DC	21	18	27	25	24	LPG
