StateCodes	TotalC	Metric	Year	Division
NE	370523	Production	2013	West North Central
NV	70208	Production	2013	Mountain
NH	166328	Production	2013	New England
NJ	403225	Production	2013	Middle Atlantic
NM	2367423	Production	2013	Mountain
NY	872500	Production	2013	Middle Atlantic
NC	606427	Production	2013	South Atlantic
ND	2634178	Production	2013	West North Central
OH	1149882	Production	2013	East North Central
OK	3137443	Production	2013	West South Central
OR	458848	Production	2013	Pacific
PA	5873742	Production	2013	Middle Atlantic
RI	2627	Production	2013	New England
SC	690644	Production	2013	South Atlantic
SD	236679	Production	2013	West North Central
TN	544916	Production	2013	East South Central
TX	15688922	Production	2013	West South Central
UT	1122868	Production	2013	Mountain
VT	84188	Production	2013	New England
VA	1023009	Production	2013	South Atlantic
WA	1003330	Production	2013	Pacific
WV	3809750	Production	2013	South Atlantic
WI	310413	Production	2013	East North Central
WY	9233869	Production	2013	Mountain
DC	323	Production	2013	South Atlantic
AL	1958221	Consumption	2014	East South Central
AK	603119	Consumption	2014	Pacific
AZ	1422590	Consumption	2014	Mountain
AR	1114409	Consumption	2014	West South Central
CA	7620082	Consumption	2014	Pacific
CO	1477177	Consumption	2014	Mountain
CT	750019	Consumption	2014	New England
DE	274013	Consumption	2014	South Atlantic
FL	4121680	Consumption	2014	South Atlantic
GA	2850990	Consumption	2014	South Atlantic
HI	281206	Consumption	2014	Pacific
ID	519935	Consumption	2014	Mountain
IL	4042313	Consumption	2014	East North Central
IN	2931630	Consumption	2014	East North Central
IA	1541900	Consumption	2014	West North Central
KS	1132354	Consumption	2014	West North Central
KY	1770741	Consumption	2014	East South Central
LA	4279443	Consumption	2014	West South Central
ME	410530	Consumption	2014	New England
MD	1400614	Consumption	2014	South Atlantic
MA	1437640	Consumption	2014	New England
MI	2881550	Consumption	2014	East North Central
MN	1912065	Consumption	2014	West North Central
MS	1155549	Consumption	2014	East South Central
MO	1903839	Consumption	2014	West North Central
MT	403446	Consumption	2014	Mountain
NE	864347	Consumption	2014	West North Central
NV	660256	Consumption	2014	Mountain
NH	310142	Consumption	2014	New England
NJ	2340188	Consumption	2014	Middle Atlantic
NM	679136	Consumption	2014	Mountain
NY	3742892	Consumption	2014	Middle Atlantic
NC	2554776	Consumption	2014	South Atlantic
ND	640095	Consumption	2014	West North Central
OH	3809648	Consumption	2014	East North Central
OK	1679856	Consumption	2014	West South Central
OR	987145	Consumption	2014	Pacific
PA	3902434	Consumption	2014	Middle Atlantic
RI	204459	Consumption	2014	New England
SC	1632085	Consumption	2014	South Atlantic
SD	391857	Consumption	2014	West North Central
TN	2194512	Consumption	2014	East South Central
TX	12899498	Consumption	2014	West South Central
UT	797995	Consumption	2014	Mountain
VT	139897	Consumption	2014	New England
VA	2430205	Consumption	2014	South Atlantic
WA	2011941	Consumption	2014	Pacific
WV	752942	Consumption	2014	South Atlantic
WI	1868867	Consumption	2014	East North Central
WY	535612	Consumption	2014	Mountain
DC	178929	Consumption	2014	South Atlantic
AL	1353725	Production	2014	East South Central
AK	1475129	Production	2014	Pacific
AZ	635050	Production	2014	Mountain
AR	1454325	Production	2014	West South Central
CA	2413494	Production	2014	Pacific
CO	3041634	Production	2014	Mountain
CT	197271	Production	2014	New England
DE	4189	Production	2014	South Atlantic
FL	553738	Production	2014	South Atlantic
GA	597955	Production	2014	South Atlantic
HI	27166	Production	2014	Pacific
